Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-02-20 - FLA 1, DET 2",FLA,2021-02-20,FLA,1,DET,2,Won,0.0,53.2,52.5,43.3,42.0,3.1,3.6,9.1,8.1,2.0,1.6,6.8,6.7,26.4,24.5,0.4,0.7,15.2,14.3,13.3,16.4,0.6,1.2,7.3,9.5,1.0222,31.8,22.4,24.5,32.1,2.597,2.672
"2021-02-22 - DAL 1, FLA 3",FLA,2021-02-22,DAL,1,FLA,3,Won,1.0,52.8,54.0,42.9,42.7,3.1,3.4,8.6,8.3,1.9,1.5,6.4,6.9,27.3,26.1,0.5,0.6,15.5,15.0,12.6,16.2,0.6,1.2,7.0,9.4,1.0132999999999999,31.1,21.2,24.5,33.0,2.482,2.6710000000000003
"2021-02-24 - DAL 3, FLA 0",FLA,2021-02-24,DAL,3,FLA,0,Lost,1.0,49.2,56.3,40.1,44.3,2.6,3.2,7.6,8.5,1.6,1.3,5.8,7.3,25.1,27.4,0.4,0.7,14.5,16.0,12.2,16.6,0.6,1.0,7.1,9.5,1.0158,29.5,19.8,25.1,34.6,2.244,2.819
"2021-02-25 - DAL 2, FLA 3",FLA,2021-02-25,DAL,2,FLA,3,Won,0.0,47.9,56.9,39.6,45.1,2.8,3.0,7.4,8.3,1.7,1.2,6.0,6.9,23.9,27.7,0.5,0.7,14.1,16.1,12.1,16.9,0.6,0.9,7.1,10.2,1.0027,29.6,19.5,25.2,35.3,2.337,2.772
"2021-02-27 - CAR 4, FLA 3",FLA,2021-02-27,CAR,4,FLA,3,Lost,1.0,48.3,56.9,39.5,45.6,2.6,3.2,8.0,8.7,1.5,1.3,6.6,7.1,23.9,28.1,0.5,0.8,13.7,16.2,12.5,16.0,0.6,0.9,7.5,9.6,1.0137,29.6,20.5,24.7,35.1,2.325,2.8600000000000003
"2021-03-01 - CAR 3, FLA 2",FLA,2021-03-01,CAR,3,FLA,2,Lost,1.0,48.3,57.7,39.8,46.5,2.8,3.3,8.4,9.5,1.7,1.5,7.0,7.9,23.1,28.0,0.6,0.8,13.3,16.4,12.7,15.7,0.5,0.8,7.5,9.1,1.0083,29.7,21.1,25.2,36.0,2.375,2.9010000000000002
"2021-03-04 - FLA 5, NSH 4",FLA,2021-03-04,FLA,5,NSH,4,Lost,2.0,49.4,58.9,41.0,47.8,2.9,3.0,8.6,10.4,1.7,1.6,7.2,9.0,24.0,28.4,0.7,0.6,14.2,16.9,12.7,15.4,0.5,0.7,7.4,9.2,0.9953000000000001,30.7,21.3,25.8,37.7,2.427,2.915
"2021-03-06 - FLA 6, NSH 2",FLA,2021-03-06,FLA,6,NSH,2,Lost,1.0,51.6,58.9,42.6,47.8,2.7,3.4,9.2,10.8,1.7,1.9,7.3,9.4,25.0,28.1,0.7,0.7,14.6,17.0,13.7,15.6,0.3,0.7,7.8,9.1,1.0154999999999998,31.4,22.9,26.4,38.1,2.4189999999999996,2.978
"2021-03-07 - FLA 2, CAR 4",FLA,2021-03-07,FLA,2,CAR,4,Won,0.0,51.9,60.6,42.2,49.1,2.5,3.4,8.9,11.0,1.6,2.1,7.1,9.6,25.2,29.7,0.7,0.6,14.7,17.4,13.6,15.6,0.2,0.6,7.6,9.4,1.0119,31.3,22.5,26.6,39.2,2.35,3.041
"2021-03-09 - FLA 4, CBJ 2",FLA,2021-03-09,FLA,4,CBJ,2,Lost,1.0,51.0,59.5,41.0,47.8,2.6,3.2,8.3,11.5,1.5,1.9,6.9,9.7,25.4,29.0,0.8,0.6,14.8,16.6,13.5,14.7,0.3,0.6,7.0,8.9,1.003,30.4,21.8,26.2,37.8,2.316,3.036
"2021-03-11 - FLA 5, CBJ 4",FLA,2021-03-11,FLA,5,CBJ,4,Lost,1.0,52.5,60.1,41.9,47.7,2.6,2.9,8.8,11.8,1.7,1.7,7.1,9.7,25.4,29.9,0.7,0.6,15.1,16.6,14.5,14.6,0.2,0.5,7.6,8.6,0.9984,31.2,23.3,26.4,37.2,2.3440000000000003,3.0349999999999997
"2021-03-13 - CHI 2, FLA 4",FLA,2021-03-13,CHI,2,FLA,4,Won,1.0,52.8,59.1,41.9,47.1,2.8,3.3,8.7,11.8,1.6,1.9,6.9,9.7,24.7,28.5,0.7,0.6,14.4,15.5,15.5,15.5,0.5,0.7,8.7,9.3,1.0063,31.7,24.2,27.3,36.5,2.4,3.101
"2021-03-15 - CHI 3, FLA 6",FLA,2021-03-15,CHI,3,FLA,6,Won,1.0,53.9,56.2,43.1,45.0,2.9,3.4,9.4,12.3,1.5,2.3,7.4,10.2,24.5,26.7,0.7,0.4,13.8,13.9,16.3,14.3,0.7,0.7,9.4,8.8,1.0097,32.4,25.7,26.6,34.8,2.57,2.976
"2021-03-18 - NSH 2, FLA 1",FLA,2021-03-18,NSH,2,FLA,1,Lost,2.0,54.2,54.8,43.2,44.2,2.9,4.0,9.6,12.4,1.5,2.6,7.4,10.6,24.8,25.7,0.6,0.6,14.1,13.2,16.3,13.8,0.8,0.7,9.6,8.5,1.0274999999999999,32.7,25.9,26.2,34.1,2.512,3.2049999999999996
"2021-03-20 - NSH 0, FLA 2",FLA,2021-03-20,NSH,0,FLA,2,Won,1.0,53.4,55.8,42.3,44.7,2.9,3.8,9.2,12.5,1.4,2.6,7.0,10.7,24.8,26.1,0.6,0.5,13.9,13.3,15.7,14.2,0.9,0.6,9.0,9.0,1.0191000000000001,31.5,24.9,26.7,34.7,2.491,3.247
"2021-03-21 - FLA 3, TB 5",FLA,2021-03-21,FLA,3,TB,5,Won,0.0,52.7,58.6,41.3,46.1,2.6,3.7,8.6,13.2,1.2,2.5,6.4,11.4,25.3,27.4,0.5,0.5,14.0,13.9,15.2,15.2,0.9,0.6,8.5,9.8,1.0226000000000002,30.3,23.8,28.4,36.5,2.375,3.5060000000000002
"2021-03-23 - FLA 2, CHI 3",FLA,2021-03-23,FLA,2,CHI,3,Won,1.0,52.1,57.1,40.4,44.6,2.8,3.8,9.9,12.6,1.6,2.5,7.6,10.8,23.1,26.6,0.4,0.6,12.2,13.4,15.8,15.2,0.8,0.6,8.5,9.5,1.0164,29.6,25.7,27.8,35.1,2.586,3.339
"2021-03-25 - FLA 0, CHI 3",FLA,2021-03-25,FLA,0,CHI,3,Won,1.0,51.3,57.1,39.4,43.9,2.7,3.5,9.8,12.5,1.6,2.4,7.7,10.9,22.0,26.6,0.3,0.5,11.9,13.2,16.0,15.0,0.8,0.5,8.4,9.5,1.011,29.3,25.8,27.5,34.8,2.589,3.3120000000000003
"2021-03-27 - FLA 4, DAL 3",FLA,2021-03-27,FLA,4,DAL,3,Lost,1.0,48.7,59.1,37.5,44.8,2.8,2.9,9.6,13.1,1.7,1.9,7.7,11.4,20.2,26.8,0.2,0.5,10.9,13.5,16.0,16.3,0.8,0.4,8.7,9.8,0.9846,28.4,25.6,29.4,35.7,2.6719999999999997,3.439
"2021-03-28 - FLA 4, DAL 1",FLA,2021-03-28,FLA,4,DAL,1,Lost,0.0,49.9,60.4,38.4,45.7,2.7,3.1,9.7,13.1,1.6,2.1,7.7,11.5,20.7,26.9,0.2,0.4,10.8,13.3,16.4,17.2,0.8,0.5,9.5,10.3,0.9968,29.2,26.1,30.3,36.2,2.6130000000000004,3.495
"2021-03-30 - DET 1, FLA 4",FLA,2021-03-30,DET,1,FLA,4,Won,1.0,49.6,59.2,37.5,44.9,2.6,3.1,9.7,12.6,1.4,2.0,7.7,11.0,21.3,25.9,0.2,0.3,10.4,12.7,15.6,17.0,0.9,0.7,9.1,10.2,1.0042,28.6,25.3,29.6,35.2,2.5989999999999998,3.5300000000000002
"2021-04-01 - DET 2, FLA 3",FLA,2021-04-01,DET,2,FLA,3,Won,1.0,49.6,59.1,37.6,44.7,2.3,3.0,10.7,12.9,1.4,2.1,8.7,11.4,20.5,25.9,0.1,0.3,10.0,13.1,15.0,16.3,0.7,0.5,8.6,9.3,1.0104,29.0,25.7,29.2,35.3,2.734,3.45
"2021-04-03 - CBJ 2, FLA 5",FLA,2021-04-03,CBJ,2,FLA,5,Won,1.0,50.1,59.7,37.1,45.3,2.3,2.9,10.1,12.5,1.5,1.8,8.3,10.7,21.4,26.5,0.2,0.4,10.5,13.8,14.6,16.5,0.5,0.6,7.8,9.3,1.0061,28.5,24.7,29.0,35.4,2.587,3.4490000000000003
"2021-04-04 - CBJ 0, FLA 3",FLA,2021-04-04,CBJ,0,FLA,3,Won,0.0,52.0,61.0,38.6,45.8,2.2,2.8,10.7,12.5,1.5,1.7,9.1,10.5,22.2,27.5,0.2,0.3,11.2,14.3,15.1,16.9,0.4,0.7,8.1,9.4,1.0083,30.2,25.8,29.4,35.7,2.7619999999999996,3.2830000000000004
"2021-04-06 - FLA 2, CAR 5",FLA,2021-04-06,FLA,2,CAR,5,Won,1.0,53.1,60.0,39.1,44.5,2.0,3.0,10.5,12.1,1.4,1.7,8.9,10.2,22.9,26.9,0.2,0.5,11.5,14.1,15.4,16.7,0.3,0.7,8.2,9.1,1.0219,30.7,25.9,28.8,35.1,2.7030000000000003,3.2090000000000005
"2021-04-08 - FLA 0, CAR 3",FLA,2021-04-08,FLA,0,CAR,3,Won,1.0,55.3,57.3,41.1,43.1,2.5,3.0,11.4,11.7,1.5,1.6,9.7,10.0,24.2,25.0,0.5,0.5,12.3,13.0,15.5,16.2,0.4,0.8,8.2,9.0,1.0094999999999998,32.2,26.9,27.9,33.8,3.059,3.083
"2021-04-10 - FLA 1, DAL 4",FLA,2021-04-10,FLA,1,DAL,4,Won,1.0,55.5,56.9,41.8,42.8,2.3,2.7,11.2,12.0,1.1,1.4,8.8,10.2,24.7,25.1,0.5,0.4,12.7,12.7,15.4,15.4,0.6,0.8,8.5,8.4,1.0074,32.0,26.6,27.4,33.0,3.081,3.085
"2021-04-13 - FLA 3, DAL 2",FLA,2021-04-13,FLA,3,DAL,2,Lost,2.0,53.7,57.1,40.9,42.1,2.4,2.6,11.0,11.9,1.1,1.3,8.5,9.8,23.5,25.3,0.5,0.4,11.9,12.3,14.6,15.0,0.7,0.8,7.9,7.7,0.9959,30.8,25.6,26.9,31.6,2.961,3.0060000000000002
"2021-04-15 - FLA 2, TB 3",FLA,2021-04-15,FLA,2,TB,3,Won,1.0,55.8,56.0,42.5,41.7,2.3,2.9,12.2,11.2,1.1,1.4,9.2,9.1,24.1,25.4,0.5,0.6,12.0,12.2,14.5,14.5,0.7,0.8,7.7,7.6,1.0122,31.3,26.7,25.7,30.6,2.995,2.9130000000000003
"2021-04-17 - FLA 5, TB 3",FLA,2021-04-17,FLA,5,TB,3,Lost,1.0,53.1,55.2,40.4,41.8,2.3,2.7,11.5,11.5,1.1,1.3,8.9,9.7,23.0,25.5,0.5,0.6,11.5,12.8,13.8,13.6,0.7,0.7,7.0,7.3,0.9962,29.8,25.3,25.1,31.6,2.838,2.868
"2021-04-19 - CBJ 2, FLA 4",FLA,2021-04-19,CBJ,2,FLA,4,Won,1.0,52.4,55.7,40.0,42.6,2.5,2.8,11.1,11.2,1.3,1.6,8.7,9.7,22.6,26.5,0.5,0.7,11.4,13.5,14.2,14.0,0.7,0.4,7.4,7.7,0.9875999999999999,29.5,25.3,25.2,32.5,2.739,2.7860000000000005
"2021-04-20 - CBJ 1, FLA 5",FLA,2021-04-20,CBJ,1,FLA,5,Won,0.0,53.3,55.7,40.5,43.2,2.6,2.8,10.7,11.0,1.4,1.4,8.3,9.5,24.4,26.5,0.5,0.8,12.4,13.7,13.9,14.2,0.7,0.4,7.2,8.3,0.983,29.5,24.6,25.2,33.1,2.657,2.911
"2021-04-22 - CAR 4, FLA 2",FLA,2021-04-22,CAR,4,FLA,2,Lost,1.0,53.0,55.2,41.0,43.0,2.5,3.0,10.6,11.2,1.4,1.6,8.2,9.7,24.7,25.2,0.4,0.8,13.1,13.2,13.7,14.6,0.7,0.4,7.4,8.3,0.9943,30.2,24.3,25.8,32.8,2.706,2.9370000000000003
"2021-04-24 - CAR 3, FLA 4",FLA,2021-04-24,CAR,3,FLA,4,Won,1.0,50.8,56.1,39.4,43.2,2.7,2.7,10.6,10.8,1.5,1.5,8.1,9.3,23.1,25.6,0.4,0.7,12.0,12.9,13.3,15.3,0.8,0.4,6.9,8.4,0.9779,28.5,23.9,26.1,32.3,2.8209999999999997,2.874
"2021-04-26 - FLA 1, NSH 4",FLA,2021-04-26,FLA,1,NSH,4,Won,1.0,49.1,56.8,38.2,43.9,3.0,2.8,10.2,11.2,1.5,1.5,7.5,9.4,22.2,25.5,0.5,0.5,11.4,12.8,13.3,15.9,0.8,0.7,6.9,8.6,0.9646000000000001,27.2,23.5,27.1,32.4,2.7619999999999996,2.976
"2021-04-27 - FLA 7, NSH 4",FLA,2021-04-27,FLA,7,NSH,4,Lost,0.0,46.6,58.4,36.4,45.0,2.9,2.7,9.8,11.4,1.8,1.5,7.4,9.1,19.9,25.9,0.2,0.5,10.2,13.2,13.7,17.1,0.7,0.6,7.2,9.1,0.9606,26.3,23.5,28.5,32.8,2.52,2.927
"2021-04-29 - FLA 4, CHI 3",FLA,2021-04-29,FLA,4,CHI,3,Lost,1.0,45.5,62.0,35.7,48.2,3.0,3.4,9.5,11.5,1.9,1.6,7.6,9.0,19.6,27.3,0.3,0.7,10.6,15.0,13.2,19.1,0.6,1.0,7.3,10.5,0.9734,27.1,22.7,30.6,36.0,2.347,3.1630000000000003
"2021-05-01 - FLA 5, CHI 4",FLA,2021-05-01,FLA,5,CHI,4,Lost,1.0,46.3,62.3,36.1,50.0,2.9,3.7,9.4,11.6,1.8,1.7,7.7,9.2,21.0,27.6,0.3,0.7,11.2,15.8,13.2,19.8,0.6,1.2,7.8,11.3,0.9877,27.8,22.6,31.4,37.8,2.402,3.286
"2021-05-03 - DAL 4, FLA 5",FLA,2021-05-03,DAL,4,FLA,5,Won,1.0,46.3,64.2,36.2,51.6,3.1,3.9,9.6,12.3,1.8,2.0,8.1,9.9,21.4,28.1,0.5,0.6,11.5,16.0,13.1,20.5,0.6,1.2,8.0,11.5,0.9861999999999999,28.7,22.7,32.8,38.9,2.466,3.431
"2021-05-08 - TB 1, FLA 5",FLA,2021-05-08,TB,1,FLA,5,Won,4.0,47.3,65.2,36.6,52.4,3.2,4.2,9.9,12.7,1.9,2.1,8.3,10.0,22.4,27.8,0.4,0.7,12.5,15.7,12.7,21.2,0.7,1.3,7.9,12.1,0.9949999999999999,29.8,22.6,33.9,39.4,2.54,3.54
"2021-05-10 - TB 0, FLA 4",FLA,2021-05-10,TB,0,FLA,4,Won,1.0,46.1,65.6,36.1,52.6,3.0,4.2,9.8,12.8,1.8,1.9,8.3,9.9,21.9,27.7,0.4,0.6,12.5,15.9,12.2,21.2,0.6,1.6,7.7,12.1,0.9999,29.6,22.0,34.0,39.7,2.561,3.505
